,direction,speed
552,230.0,6.0
553,320.0,5.0
554,360.0,3.0
555,70.0,2.0
556,320.0,1.0
557,50.0,2.0
558,320.0,3.0
559,180.0,2.0
560,70.0,2.0
561,270.0,3.0
562,50.0,3.0
563,200.0,4.0
564,70.0,3.0
565,50.0,2.0
566,70.0,1.0
567,140.0,4.0
568,340.0,1.0
569,320.0,1.0
570,90.0,3.0
571,230.0,2.0
572,160.0,1.0
573,180.0,1.0
574,270.0,2.0
575,250.0,7.0
576,320.0,1.0
577,250.0,4.0
578,340.0,1.0
579,250.0,5.0
580,180.0,3.0
581,360.0,3.0
582,90.0,2.0
583,90.0,1.0
584,230.0,2.0
585,70.0,5.0
586,250.0,2.0
587,180.0,2.0
588,360.0,2.0
589,140.0,1.0
590,230.0,8.0
591,250.0,5.0
592,110.0,2.0
593,320.0,2.0
594,90.0,1.0
595,140.0,3.0
596,140.0,2.0
597,270.0,5.0
598,320.0,4.0
599,250.0,1.0
600,250.0,2.0
601,250.0,3.0
602,140.0,2.0
603,110.0,1.0
604,90.0,3.0
605,90.0,2.0
606,140.0,1.0
607,360.0,1.0
608,290.0,1.0
609,320.0,3.0
610,160.0,4.0
611,270.0,1.0
612,200.0,4.0
613,250.0,5.0
614,180.0,1.0
615,180.0,3.0
616,90.0,1.0
617,270.0,2.0
618,160.0,3.0
619,70.0,3.0
620,360.0,2.0
621,270.0,4.0
622,110.0,1.0
623,50.0,2.0
624,180.0,2.0
625,290.0,4.0
626,50.0,1.0
627,160.0,2.0
628,270.0,3.0
629,110.0,4.0
630,180.0,1.0
631,230.0,3.0
632,320.0,2.0
633,360.0,2.0
634,250.0,2.0
635,250.0,8.0
636,220.0,4.0
637,250.0,4.0
638,230.0,2.0
639,230.0,2.0
640,230.0,7.0
641,140.0,2.0
642,270.0,2.0
643,270.0,4.0
644,90.0,2.0
645,270.0,6.0
646,70.0,1.0
647,230.0,2.0
648,50.0,3.0
649,250.0,4.0
650,180.0,3.0
