,stationID,LONG,LAT,dist
5894,54736,118.66,37.43,0.35176426340864464
5536,54837,118.83,36.7,0.35415871000863774
6400,54749,119.93,37.18,0.5423476244086548
5542,54844,119.18,36.41,0.5794753838086444
397,54744,118.53,37.6,0.624325372008641
6608,54842,119.93,36.76,0.7112809568086549
6228,54738,118.35,37.05,0.726347589008649
5300,54476,122.15,40.16,0.01763896546172919
5254,54474,122.35,40.41,0.059027855461724135
58341,A8XD5,121.8,40.3,0.1139667438617322
127,54471,122.26,40.66,0.15026674546172694
4163,54475,122.48,40.61,0.21828896746172927
394,54563,122.01,39.63,0.4547945186617235
6762,54470,122.06,40.98,0.47904452466172515
5878,54472,122.71,40.88,0.6732389686617217
6759,54338,122.01,41.18,0.8044056366617285
6763,54569,121.96,39.4,0.8275667398617329
292,54857,120.33,36.06,0.0013506946888885477
5302,54853,120.41,36.16,0.010817360688888111
54077,A8RL2,120.2,36.0,0.025600695088887862
5540,54855,120.46,36.38,0.09783402588888988
5904,54849,120.0,36.26,0.1339340266888894
5907,54943,120.0,35.88,0.15420069588888713
31347,DCSI2,120.9,35.9,0.3664340290888944
58949,DCUJ2,120.9,35.8,0.41576736308889506
62107,DGSE,120.9,35.8,0.41576736308889506
139,54823,119.98,36.68,0.461034023888889
290,54662,121.63,38.9,0.0005063271728400339
5877,54568,121.7,39.08,0.02966743517284177
18099,ZCDF8,121.7,38.7,0.05436743517284061
5879,54660,121.23,38.81,0.17287856717282624
6763,54569,121.96,39.4,0.3367229791728433
46399,A8HI8,121.4,38.2,0.5750341151728268
48092,V7YW2,121.0,38.5,0.5757563551728239
61766,A8XD5,121.0,38.5,0.5757563551728239
64530,SHIP,121.0,38.5,0.5757563551728239
394,54563,122.01,39.63,0.6447451991728578
5912,54765,121.4,37.53,0.0005191368197536057
6401,54764,121.25,37.5,0.017119130419755237
5887,54766,121.58,37.38,0.06378581281975088
5913,54759,120.81,37.3,0.37489689041976026
6399,54861,121.48,36.9,0.4081635904197593
52741,MGSH7,121.7,38.1,0.4284524784197496
46399,A8HI8,121.4,38.2,0.4486746864197529
6612,54752,120.76,37.8,0.4535635504197509
6609,54777,122.03,37.18,0.5490080568197504
533,54774,122.13,37.46,0.5716525032197386
6138,58369,121.76,31.05,0.06661311188827454
6140,58463,121.45,30.93,0.18907420948828035
58394,UBSH,122.3,31.1,0.26557424688826037
58997,UBSH5,122.3,31.1,0.26557424688826037
6727,58367,121.43,31.16,0.31142420808827787
6269,58361,121.38,31.11,0.32603531708828903
231,58472,122.45,30.73,0.3441853654882607
36462,DHPU,122.4,30.5,0.38129647488826424
6107,58484,122.18,30.25,0.4170686878882674
6565,58462,121.25,31.0,0.4177686448882879
6449,58264,121.18,32.33,0.034053780046912306
6325,58268,121.08,32.1,0.17124822244691354
230,58265,121.6,32.06,0.1986037776469052
5994,58360,121.2,31.9,0.29202599844691235
460,58259,120.85,32.01,0.4097982216469218
5988,58269,121.66,31.8,0.4892148864469049
5981,58255,120.56,32.38,0.610159336046915
6270,58366,121.45,31.61,0.6713537736469098
6453,58254,120.45,32.53,0.8037760040469155
5992,58353,120.55,31.86,0.9398815536469209
6729,58158,120.48,33.2,0.11313711504690659
185,58251,120.31,32.86,0.4322648958469041
5982,58154,120.15,33.38,0.43288711344690045
163,58150,120.25,33.76,0.5209648878469091
6453,58254,120.45,32.53,0.7103315654469015
5981,58255,120.56,32.38,0.8970482334468995
6574,58146,119.81,33.48,1.019076001446899
6731,58250,120.15,32.51,1.0428537878468978
6449,58264,121.18,32.33,1.0748037894469198
6318,58243,119.83,32.93,1.079387117446905
232,58477,122.1,30.03,0.0007173612888890072
6726,58570,122.3,29.95,0.04185069408888541
61208,UBSH,122.2,30.2,0.04818402908888786
6107,58484,122.18,30.25,0.06685069608888887
6119,58563,121.75,29.96,0.12613402748889327
58010,SHIP,122.5,30.3,0.2460173630888842
