Unnamed: 0,sta_lon,sta_lat,ilon,ilat,mesh_lon,mesh_lat,dist
234536,118.86,39.88,194,423,118.70532,37.207423999999996,7.1665883781760344
234539,118.86,39.88,197,423,119.051056,37.207423999999996,7.179164870912036
234541,119.23,39.88,199,423,119.28173999999999,37.207423999999996,7.145339503376033
234540,119.23,39.88,198,423,119.16638,37.207423999999996,7.146709980176035
234542,119.23,39.88,200,423,119.39715600000001,37.207423999999996,7.170603604112037
234539,119.23,39.88,197,423,119.051056,37.207423999999996,7.174683430912036
234536,118.71,40.0,194,423,118.70532,37.207423999999996,7.798502618176022
234537,118.71,40.0,195,423,118.820526,37.207423999999996,7.810696712452024
234535,118.71,40.0,193,423,118.59015,37.207423999999996,7.812844738276022
234538,118.71,40.0,196,423,118.93576000000002,37.207423999999996,7.849448293376033
